Season,Team,GP,W,L,WIN %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REDB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Salary,Champion?
2022,Atlanta Hawks,12,4,8,0.333,48,107.4,40.3,90.4,44.6,11.7,31.8,36.6,15.1,18.7,80.8,11.1,35,46.1,22.7,13.2,6.8,3.7,5.1,17.7,19.8,-4,"$136,648,361",
2021,Atlanta Hawks,72,41,31,0.569,48.3,113.7,40.8,87.2,46.8,12.4,33.4,37.3,19.7,24.2,81.2,10.6,35.1,45.6,24.1,13.2,7,4.8,5,19.3,19.8,2.3,"$118,804,016",0
2020,Atlanta Hawks,67,20,47,0.299,48.6,111.8,40.6,90.6,44.9,12,36.1,33.3,18.5,23.4,79,9.9,33.4,43.3,24,16.2,7.8,5.1,6.4,23.1,21,-8,"$85,600,106",0
2019,Atlanta Hawks,82,29,53,0.354,48.4,113.3,41.4,91.8,45.1,13,37,35.2,17.6,23.4,75.2,11.6,34.5,46.1,25.8,17,8.2,5.1,5.5,23.6,22.2,-6,"$79,180,081",0
2018,Atlanta Hawks,82,29,53,0.354,48.4,113.3,41.4,91.8,45.1,13,37,35.2,17.6,23.4,75.2,11.6,34.5,46.1,25.8,17,8.2,5.1,5.5,23.6,22.2,-6,"$99,992,696",0
2017,Atlanta Hawks,82,43,39,0.524,48.5,103.2,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,-0.9,"$96,315,163",0
2016,Atlanta Hawks,82,48,34,0.585,48.4,102.8,38.6,84.4,45.8,9.9,28.4,35,15.6,20,78.3,8.3,33.8,42.1,25.6,15,9.1,5.9,5,19.1,18.3,3.6,"$71,661,760",0
2015,Atlanta Hawks,82,60,22,0.732,48.1,102.5,38.1,81.7,46.6,10,26.2,38,16.5,21.2,77.8,8.7,31.8,40.6,25.7,14.2,9.1,4.6,4.9,17.8,19.6,5.4,"$58,320,278",0
2014,Atlanta Hawks,82,38,44,0.463,48.4,101,37.3,81.6,45.8,9.4,25.8,36.3,17,21.7,78.1,8.7,31.3,40,24.9,15.3,8.3,4,4.3,19.2,20,-0.5,"$58,998,677",0
2013,Atlanta Hawks,82,44,38,0.537,48.4,98,37.6,81,46.4,8.6,23.2,37.1,14.1,19.7,71.5,9.2,31.6,40.9,24.5,14.9,8.1,4.5,4.3,18,18.8,0.4,"$66,710,178",0
2012,Atlanta Hawks,66,40,26,0.606,49,96.6,36.8,81,45.4,7.5,20.2,37,15.5,21,74,9.9,31.3,41.2,22.4,14,8.1,4.6,4.7,17.8,19.1,3.4,"$73,669,912",0
2011,Atlanta Hawks,82,44,38,0.537,48.1,95,36.2,78.4,46.2,6.1,17.4,35.2,16.4,21.1,77.9,9.3,30,39.3,22,13.6,6.1,4.2,4.2,19,18.5,-0.8,"$71,469,843",0
2010,Atlanta Hawks,82,53,29,0.646,48.4,101.7,38.8,82.9,46.8,6.4,17.7,36,17.7,23.3,75.9,11.8,29.9,41.7,21.8,12,7.2,5,4.4,19.9,19.3,4.7,"$65,883,642",0
2009,Atlanta Hawks,82,47,35,0.573,48.1,98.1,36,78.7,45.8,7.3,19.9,36.6,18.7,25.4,73.7,10.6,29.4,40,20.2,12.8,7.4,4.6,4.3,19.6,20.5,1.6,"$68,168,841",0
2008,Atlanta Hawks,82,37,45,0.451,48.4,98.2,36.3,79.9,45.4,4.7,13.1,35.6,21,27.2,77.2,12.3,29.9,42.2,22,14.9,7.3,5.5,5.1,20.4,21.9,-1.8,"$55,501,133",0
2007,Atlanta Hawks,82,30,52,0.366,48.5,93.7,34.5,77.7,44.4,4.2,12.7,32.9,20.5,26.9,76.1,11.9,28.2,40.1,19.2,15.9,7.4,5.4,5.1,24,22.6,-4.8,"$48,581,972",0
